name,system,version
Core,borg,24.07
DefApps,borg,nan
PrgEnv-amd,borg,"8.6.0, 8.4.0, 8.5.0, 8.3.3"
PrgEnv-cray,borg,"8.4.0, 8.6.0, 8.5.0, 8.3.3"
PrgEnv-cray-amd,borg,"8.4.0, 8.3.3, 8.6.0, 8.5.0"
PrgEnv-gnu,borg,"8.5.0, 8.4.0, 8.6.0, 8.3.3"
PrgEnv-gnu-amd,borg,"8.3.3, 8.6.0, 8.5.0, 8.4.0"
adios2,borg,"2.8.3-mpi, 2.10.0-mpi, 2.8.3-mpi-nohdf5"
afar,borg,"14.0.0_5.0.0, 14.0.0_4.5.0, 15.0.0_5.2.0"
amd,borg,"5.5.1, 5.7.1, 6.0.0, 5.4.0, 5.3.0, 6.3.0, 6.2.4, 6.2.0, 6.1.3"
amd-mixed,borg,"6.3.0, 5.5.1, 6.1.3, 6.0.0, 5.6.0, 6.2.4, 5.7.0, 5.5.0, 5.3.0, 5.4.0, 5.7.1, 6.2.0"
amrex,borg,"24.05-mpi, 22.11-gpu-mpi, 24.05-gpu-mpi, 22.05-mpi"
apptainer-enable-gpu,borg,nan
apptainer-enable-mpi,borg,nan
apptainer-gpu-aware-mpi,borg,nan
apptainer-misc-libs,borg,nan
apptainer-wrappers,borg,nan
arborx,borg,"1.6-gpu-mpi, 1.2-mpi, 1.6-mpi, 1.2-gpu-mpi"
ascent,borg,"0.9.2-mpi-omp, 0.9.2-gpu-mpi-omp, 0.8.0-mpi-omp"
atp,borg,"3.15.0, 3.15.5, 3.15.1, 3.15.2, 3.15.3, 3.14.16, 3.15.4"
autoconf,borg,2.72
bazel,borg,7.0.2
bear,borg,3.1.3
blaspp,borg,2023.11.05-gpu-omp
boost,borg,"1.85.0, 1.79.0"
cabana,borg,"0.6.0-mpi, 0.4.0-mpi"
ccache,borg,4.6.3
cce,borg,"18.0.1, 15.0.0, 17.0.1, 16.0.0, 19.0.0.2, 16.0.1, 18.0.0, 17.0.0"
cce-mixed,borg,"18.0.1, 17.0.1, 18.0.0, 16.0.0, 15.0.0, 17.0.0, 19.0.0.2, 16.0.1"
chai,borg,"2024.02.0, 2.4.0, 2.4.0-gpu, 2024.02.0-gpu"
chapel,borg,1.31.0
cmake,borg,3.27.9
cpe,borg,"24.11, 23.09, 23.12, 24.07, 23.05, 24.03, 22.12"
cpe-cuda,borg,"24.03, 23.09, 24.11, 23.05, 24.07, 22.12, 23.12"
cray-R,borg,"4.4.0, 4.3.2, 4.3.1, 4.2.1.1, 4.2.1.2"
cray-ccdb,borg,"5.0.1, 5.0.0, 4.12.13, 5.0.4, 5.0.3, 5.0.5, 5.0.2"
cray-cti,borg,"2.18.0, 2.18.1, 2.19.0, 2.17.1, 2.18.2, 2.18.3, 2.18.4, 2.15.14, 2.16.0"
cray-dsmml,borg,"0.3.0, 0.2.2"
cray-dyninst,borg,"12.1.1, 12.3.0, 12.3.1, 12.2.0, 12.3.4, 12.3.2"
cray-fftw,borg,"3.3.10.8, 3.3.10.9, 3.3.10.5, 3.3.10.7, 3.3.10.4, 3.3.10.6, 3.3.10.3"
cray-hdf5,borg,"1.12.2.11, 1.12.2.7, 1.12.2.9, 1.12.2.1, 1.14.3.3, 1.14.3.1, 1.12.2.3"
cray-hdf5-parallel,borg,"1.12.2.11, 1.12.2.9, 1.14.3.3, 1.14.3.1"
cray-libpals,borg,"1.2.5, 1.2.12"
cray-libsci,borg,"23.05.1.4, 24.03.0, 24.11.0, 23.12.5, 24.07.0, 22.12.1.1, 23.09.1.1"
cray-libsci_acc,borg,"23.09.1.1, 24.03.1, 23.05.1.1, 24.11.0, 24.07.0, 23.12.0, 22.12.1.1"
cray-mpich,borg,"8.1.27, 8.1.28, 8.1.26, 8.1.23, 8.1.31, 8.1.30, 8.1.29, 8.1.25"
cray-mpich-abi,borg,"8.1.27, 8.1.31, 8.1.30, 8.1.28, 8.1.26, 8.1.29, 8.1.23, 8.1.25"
cray-mpich-ucx,borg,"8.1.29, 8.1.28, 8.1.30, 8.1.31"
cray-mpich-ucx-abi,borg,"8.1.28, 8.1.30, 8.1.31, 8.1.29"
cray-mpixlate,borg,"1.0.5, 1.0.3, 1.0.4, 1.0.6"
cray-mrnet,borg,"5.1.2, 5.1.3, 5.1.0, 5.1.1, 5.0.4, 5.1.4"
cray-netcdf,borg,"4.9.0.11, 4.9.0.9, 4.9.0.13, 4.9.0.7, 4.9.0.1, 4.9.0.15, 4.9.0.3"
cray-netcdf-hdf5parallel,borg,"4.9.0.15, 4.9.0.9, 4.9.0.13, 4.9.0.11"
cray-openshmemx,borg,"11.5.7, 11.6.1, 11.7.1, 11.7.2, 11.6.0, 11.7.0, 11.7.3"
cray-pals,borg,"1.2.12, 1.2.5"
cray-parallel-netcdf,borg,"1.12.3.9, 1.12.3.13, 1.12.3.11, 1.12.3.15"
cray-pmi,borg,"6.1.13, 6.1.15, 6.1.15.21, 6.1.11, 6.1.12, 6.1.14, 6.1.8"
cray-python,borg,"3.10.10, 3.9.13.1, 3.11.5, 3.11.7"
cray-stat,borg,"4.11.13, 4.12.0, 4.12.4, 4.12.2, 4.12.3, 4.12.1"
cray-ucx,borg,"1.14.0, 2.7.0-1"
cray-zmqnet,borg,1.0.0
craype,borg,"2.7.32, 2.7.33, 2.7.21, 2.7.19, 2.7.31.11, .2.7.30, 2.7.23"
craype-accel-amd-gfx908,borg,nan
craype-accel-amd-gfx90a,borg,nan
craype-accel-amd-gfx940,borg,nan
craype-accel-host,borg,nan
craype-accel-nvidia70,borg,nan
craype-accel-nvidia80,borg,nan
craype-accel-nvidia90,borg,nan
craype-arm-grace,borg,nan
craype-hugepages128M,borg,nan
craype-hugepages16M,borg,nan
craype-hugepages1G,borg,nan
craype-hugepages256M,borg,nan
craype-hugepages2G,borg,nan
craype-hugepages2M,borg,nan
craype-hugepages32M,borg,nan
craype-hugepages4M,borg,nan
craype-hugepages512M,borg,nan
craype-hugepages64M,borg,nan
craype-hugepages8M,borg,nan
craype-network-none,borg,nan
craype-network-ofi,borg,nan
craype-network-ucx,borg,nan
craype-x86-genoa,borg,nan
craype-x86-milan,borg,nan
craype-x86-milan-x,borg,nan
craype-x86-rome,borg,nan
craype-x86-spr,borg,nan
craype-x86-spr-hbm,borg,nan
craype-x86-trento,borg,nan
craypkg-gen,borg,"1.3.33, 1.3.34, 1.3.32, 1.3.30, 1.3.31, 1.3.28"
darshan-runtime,borg,"3.4.4-mpi, 3.4.0-mpi"
darshan-util,borg,3.4.4
dyninst,borg,"13.0.0-omp, 12.1.0-omp"
emacs,borg,29.3
entk,borg,1.80.0
exuberant-ctags,borg,5.8
flecsi,borg,"2.2.1-mpi, 2.0.0-mpi"
flux,borg,0.60.0
flux-core,borg,"0.61.2, 0.38.0"
forge,borg,"22.1.1, 23.1"
fortrilinos,borg,"2.3.0-mpi, 2.1.0-mpi"
gasnet,borg,"2023.9.0-gpu, 2023.9.0, 2022.3.0-gpu, 2022.3.0"
gcc,borg,"10.3.0, 12.2.0, 11.2.0"
gcc-mixed,borg,"12.2.0, 11.2.0"
gcc-native,borg,"13.2, 12.3"
gcc-native-mixed,borg,"12.3, 13.2"
gdb,borg,14.1
gdb4hpc,borg,"4.15.1, 4.14.6, 4.15.0, 4.16.3, 4.16.1, 4.16.0, 4.16.2"
ginkgo,borg,"1.7.0-gpu-omp, 1.4.0-omp, 1.7.0-omp"
git,borg,2.45.1
git-lfs,borg,3.3.0
globalarrays,borg,5.8.2-mpi
gmake,borg,4.4.1
gmp,borg,6.3.0-fclrd4v
gnupg,borg,2.4.5
gnuplot,borg,6.0.0
go,borg,1.22.2
googletest,borg,1.14.0
gsl,borg,2.7.1
hdf5,borg,"1.14.3-mpi, 1.12.1-mpi"
heffte,borg,"2.4.0-gpu-mpi, 2.2.0-mpi-fftw, 2.4.0-mpi-fftw, 2.2.0-gpu-mpi"
hipfort,borg,"6.1.2, 5.7.1, 6.0.0"
hpctoolkit,borg,2024.01.1-gpu-mpi
hpx,borg,"1.7.1, 1.9.1, 1.9.1-gpu, 1.7.1-gpu"
htop,borg,3.2.2
hwloc,borg,"2.9.1-gpu, 2.9.1"
hypre,borg,"2.31.0-mpi, 2.24.0-mpi"
imagemagick,borg,7.1.1-29
iobuf,borg,2.0.10
julia,borg,1.10.2
kokkos,borg,"3.6.00-gpu, 4.3.00-omp, 3.6.00-omp"
kokkos-kernels,borg,"4.3.00-omp, 3.6.00-omp"
lammps,borg,"20230802.3-gpu-mpi-omp, 20230802.3-mpi-omp, 20220623.4-mpi-omp, 20220623.4-gpu-mpi-omp"
lapackpp,borg,2023.11.05-gpu
libfabric,borg,"1.20.1, 1.15.2.0"
libjpeg-turbo,borg,3.0.0
libpng,borg,1.6.39
libunwind,borg,1.6.2
libzmq,borg,4.3.5
linaro-forge,borg,24.0.2
lmod,borg,nan
magma,borg,"2.8.0-gpu, 2.6.2-gpu, 2.7.1"
mercurial,borg,6.6.3
metis,borg,5.1.0
mfem,borg,"4.6.0-mpi, 4.4.0-mpi"
miniforge3,borg,24.3.0
nano,borg,7.2
nco,borg,"5.1.9-mpi, 5.0.1-mpi"
netcdf-c,borg,"4.9.2-mpi, 4.9.2-mpi-old"
netcdf-fortran,borg,4.6.1-mpi
netlib-scalapack,borg,2.2.0-mpi
ninja,borg,1.11.1
olcf-container-tools,borg,nan
omniperf,borg,"1.0.10, 2.0.1"
omnitrace,borg,1.10.2
openblas,borg,"0.3.26-omp, 0.3.26, 0.3.26-pthreads"
openpmd-api,borg,"0.15.2-mpi, 0.14.4-mpi"
papi,borg,"6.0.0.17, 6.0.0.1, 7.0.0.2, 7.1.0, 7.1.0.2, 7.0.1.1, 7.1.0.4, 7.1.0.1, 7.0.1.2"
parallel,borg,20220522
parallel-netcdf,borg,"1.12.3-mpi, 1.12.2-mpi"
paraview,borg,"5.12.0-mpi, 5.12.0-gpu-mpi"
parmetis,borg,4.0.3-mpi
parsec,borg,"3.0.2209-mpi, 3.0.2012-mpi"
parsl,borg,2024.10.21
perftools,borg,nan
