"adios2", " 2.10.0 2.8.3", " borg frontier", " borg-cpe24.03-cpu-2.10.0 borg-cpe24.07-cpu-2.10.0 frontier-cpe23.12-cpu-2.10.0 frontier-cpe24.03-cpu-2.10.0 frontier-cpe24.07-cpu-2.10.0 borg-cpe23.12-cpu-2.8.3 frontier-cpe23.12-cpu-2.8.3", " The Adaptable Input Output System version 2, developed in the Exascale Computing Program https://packages.spack.io/package.html?name=adios2" 
"amrex", " 22.05 22.11 24.5", " borg frontier", " borg-cpe23.12-cpu-22.05 frontier-cpe23.12-cpu-22.05 borg-cpe23.12-gpu-22.11 frontier-cpe23.12-gpu-22.11 borg-cpe23.12-cpu-24.5 borg-cpe23.12-gpu-24.5 borg-cpe24.03-cpu-24.5 borg-cpe24.03-gpu-24.5 borg-cpe24.07-cpu-24.5 borg-cpe24.07-gpu-24.5 frontier-cpe23.12-cpu-24.5 frontier-cpe23.12-gpu-24.5 frontier-cpe24.03-cpu-24.5 frontier-cpe24.03-gpu-24.5 frontier-cpe24.07-cpu-24.5 frontier-cpe24.07-gpu-24.5", " AMReX is a publicly available software framework designed for building massively parallel block- structured adaptive mesh refinement (AMR) applications. https://packages.spack.io/package.html?name=amrex" 
"arborx", " 1.2 1.6", " borg frontier andes", " borg-cpe23.12-cpu-1.2 borg-cpe23.12-gpu-1.2 frontier-cpe23.12-cpu-1.2 frontier-cpe23.12-gpu-1.2 andes-sw-24.11-1.6 borg-cpe23.12-cpu-1.6 borg-cpe23.12-gpu-1.6 borg-cpe24.03-cpu-1.6 borg-cpe24.03-gpu-1.6 borg-cpe24.07-cpu-1.6 borg-cpe24.07-gpu-1.6 frontier-cpe23.12-cpu-1.6 frontier-cpe23.12-gpu-1.6 frontier-cpe24.03-cpu-1.6 frontier-cpe24.03-gpu-1.6 frontier-cpe24.07-cpu-1.6 frontier-cpe24.07-gpu-1.6", " ArborX is a performance-portable library for geometric search https://packages.spack.io/package.html?name=arborx" 
"ascent", " 0.8.0 0.9.2", " borg frontier", " borg-cpe23.12-cpu-0.8.0 frontier-cpe23.12-cpu-0.8.0 borg-cpe23.12-cpu-0.9.2 borg-cpe23.12-gpu-0.9.2 borg-cpe24.03-cpu-0.9.2 borg-cpe24.03-gpu-0.9.2 borg-cpe24.07-cpu-0.9.2 borg-cpe24.07-gpu-0.9.2 frontier-cpe23.12-cpu-0.9.2 frontier-cpe23.12-gpu-0.9.2 frontier-cpe24.03-cpu-0.9.2 frontier-cpe24.03-gpu-0.9.2 frontier-cpe24.07-cpu-0.9.2 frontier-cpe24.07-gpu-0.9.2", " Ascent is an open source many-core capable lightweight in situ visualization and analysis infrastructure for multi-physics HPC simulations. https://packages.spack.io/package.html?name=ascent" 
"autoconf", " 2.72", " andes", " andes-core-24.07-2.72", " Autoconf -- system configuration part of autotools https://packages.spack.io/package.html?name=autoconf" 
"bazel", " 7.0.2", " andes borg frontier", " andes-core-24.07-7.0.2 borg-core-24.07-7.0.2 frontier-core-24.07-7.0.2", " Bazel is an open-source build and test tool similar to Make, Maven, and Gradle. It uses a human-readable, high-level build language. Bazel supports projects in multiple languages and builds outputs for multiple platforms. Bazel supports large codebases across multiple repositories, and large numbers of users. https://packages.spack.io/package.html?name=bazel" 
"blaspp", " 2023.11.5", " borg frontier", " borg-cpe23.12-gpu-2023.11.5 borg-cpe24.03-gpu-2023.11.5 borg-cpe24.07-gpu-2023.11.5 frontier-cpe23.12-gpu-2023.11.5 frontier-cpe24.03-gpu-2023.11.5 frontier-cpe24.07-gpu-2023.11.5", " https://packages.spack.io/package.html?name=blaspp" 
"boost", " 1.79.0 1.85.0", " borg frontier andes gaea-t5", " borg-cpe23.12-cpu-1.79.0 frontier-cpe23.12-cpu-1.79.0 andes-sw-24.11-1.85.0 borg-cpe23.12-cpu-1.85.0 borg-cpe24.03-cpu-1.85.0 borg-cpe24.07-cpu-1.85.0 frontier-cpe23.12-cpu-1.85.0 frontier-cpe24.03-cpu-1.85.0 frontier-cpe24.07-cpu-1.85.0 gaea-t5-core-24.10-1.85.0", " Boost provides free peer-reviewed portable C++ source libraries, emphasizing libraries that work well with the C++ Standard Library. https://packages.spack.io/package.html?name=boost" 
"cabana", " 0.4.0 0.6.0", " borg frontier andes", " borg-cpe23.12-cpu-0.4.0 frontier-cpe23.12-cpu-0.4.0 andes-sw-24.11-0.6.0 borg-cpe23.12-cpu-0.6.0 borg-cpe24.03-cpu-0.6.0 borg-cpe24.07-cpu-0.6.0 frontier-cpe23.12-cpu-0.6.0 frontier-cpe24.03-cpu-0.6.0 frontier-cpe24.07-cpu-0.6.0", " The Exascale Co-Design Center for Particle Applications Toolkit https://packages.spack.io/package.html?name=cabana" 
"ccache", " 4.6.3", " andes borg frontier gaea-t5", " andes-core-24.07-4.6.3 borg-core-24.07-4.6.3 frontier-core-24.07-4.6.3 gaea-t5-core-24.10-4.6.3", " ccache is a compiler cache. It speeds up recompilation by caching previous compilations and detecting when the same compilation is being done again. https://packages.spack.io/package.html?name=ccache" 
"cdo", " 2.3.0", " gaea-t5", " gaea-t5-core-24.10-2.3.0", " https://packages.spack.io/package.html?name=cdo" 
"chai", " 2024.2.0 2.4.0", " borg frontier", " borg-cpe23.12-cpu-2024.2.0 borg-cpe23.12-gpu-2024.2.0 borg-cpe24.03-cpu-2024.2.0 borg-cpe24.03-gpu-2024.2.0 borg-cpe24.07-cpu-2024.2.0 borg-cpe24.07-gpu-2024.2.0 frontier-cpe23.12-cpu-2024.2.0 frontier-cpe23.12-gpu-2024.2.0 frontier-cpe24.03-cpu-2024.2.0 frontier-cpe24.03-gpu-2024.2.0 frontier-cpe24.07-cpu-2024.2.0 frontier-cpe24.07-gpu-2024.2.0 borg-cpe23.12-cpu-2.4.0 borg-cpe23.12-gpu-2.4.0 frontier-cpe23.12-cpu-2.4.0 frontier-cpe23.12-gpu-2.4.0", "  Copy-hiding array interface for data migration between memory spaces  https://packages.spack.io/package.html?name=chai" 
"cmake", " 3.27.9", " andes borg frontier gaea-t5", " andes-core-24.07-3.27.9 borg-core-24.07-3.27.9 frontier-core-24.07-3.27.9 gaea-t5-core-24.10-3.27.9", " A cross-platform, open-source build system. CMake is a family of tools designed to build, test and package software.  https://packages.spack.io/package.html?name=cmake" 
"darshan", " darshan", " andes borg frontier gaea-t5", " andes-core-24.07-darshan borg-core-24.07-darshan borg-cpe23.12-cpu-darshan borg-cpe23.12-cpu-darshan borg-cpe24.03-cpu-darshan borg-cpe24.07-cpu-darshan frontier-core-24.07-darshan frontier-cpe23.12-cpu-darshan frontier-cpe23.12-cpu-darshan frontier-cpe24.03-cpu-darshan frontier-cpe24.07-cpu-darshan gaea-t5-core-24.10-darshan", " https://packages.spack.io/package.html?name=darshan" 
"dyninst", " 12.1.0 13.0.0", " borg frontier", " borg-cpe23.12-cpu-12.1.0 frontier-cpe23.12-cpu-12.1.0 borg-cpe23.12-cpu-13.0.0 borg-cpe24.03-cpu-13.0.0 borg-cpe24.07-cpu-13.0.0 frontier-cpe23.12-cpu-13.0.0 frontier-cpe24.03-cpu-13.0.0 frontier-cpe24.07-cpu-13.0.0", " https://packages.spack.io/package.html?name=dyninst" 
"eccodes", " 2.34.0", " gaea-t5", " gaea-t5-core-24.10-2.34.0", " https://packages.spack.io/package.html?name=eccodes" 
"emacs", " 29.3", " andes borg frontier gaea-t5", " andes-core-24.07-29.3 borg-core-24.07-29.3 frontier-core-24.07-29.3 gaea-t5-core-24.10-29.3", " The Emacs programmable text editor. https://packages.spack.io/package.html?name=emacs" 
"esmf", " 8.6.0", " gaea-t5", " gaea-t5-core-24.10-8.6.0", " https://packages.spack.io/package.html?name=esmf" 
"exuberant", " exuberant", " andes borg frontier gaea-t5", " andes-core-24.07-exuberant borg-core-24.07-exuberant frontier-core-24.07-exuberant gaea-t5-core-24.10-exuberant", " https://packages.spack.io/package.html?name=exuberant" 
"flecsi", " 2.2.1", " borg frontier", " borg-cpe23.12-cpu-2.2.1 borg-cpe24.03-cpu-2.2.1 borg-cpe24.07-cpu-2.2.1 frontier-cpe23.12-cpu-2.2.1 frontier-cpe24.03-cpu-2.2.1 frontier-cpe24.07-cpu-2.2.1", " FleCSI is a compile-time configurable framework designed to support multi-physics application development. As such, FleCSI attempts to provide a very general set of infrastructure design patterns that can be specialized and extended to suit the needs of a broad variety of solver and data requirements. Current support includes multi-dimensional mesh topology, mesh geometry, and mesh adjacency information.  https://packages.spack.io/package.html?name=flecsi" 
"flux", " flux", " borg frontier", " borg-cpe23.12-cpu-flux borg-cpe23.12-cpu-flux borg-cpe23.12-cpu-flux borg-cpe24.03-cpu-flux borg-cpe24.07-cpu-flux frontier-cpe23.12-cpu-flux frontier-cpe23.12-cpu-flux frontier-cpe23.12-cpu-flux frontier-cpe24.03-cpu-flux frontier-cpe24.07-cpu-flux", " Flux is a flexible framework for resource management https://packages.spack.io/package.html?name=flux" 
"fortrilinos", " 2.3.0", " borg frontier", " borg-cpe23.12-cpu-2.3.0 borg-cpe24.03-cpu-2.3.0 borg-cpe24.07-cpu-2.3.0 frontier-cpe23.12-cpu-2.3.0 frontier-cpe24.03-cpu-2.3.0 frontier-cpe24.07-cpu-2.3.0", " ForTrilinos provides a set of Fortran-2003 wrappers to the Trilinos solver library. https://packages.spack.io/package.html?name=fortrilinos" 
"gasnet", " 2022.3.0 2023.9.0", " borg frontier", " borg-cpe23.12-cpu-2022.3.0 borg-cpe23.12-gpu-2022.3.0 frontier-cpe23.12-cpu-2022.3.0 frontier-cpe23.12-gpu-2022.3.0 borg-cpe23.12-cpu-2023.9.0 borg-cpe23.12-gpu-2023.9.0 borg-cpe24.03-cpu-2023.9.0 borg-cpe24.03-gpu-2023.9.0 borg-cpe24.07-cpu-2023.9.0 borg-cpe24.07-gpu-2023.9.0 frontier-cpe23.12-cpu-2023.9.0 frontier-cpe23.12-gpu-2023.9.0 frontier-cpe24.03-cpu-2023.9.0 frontier-cpe24.03-gpu-2023.9.0 frontier-cpe24.07-cpu-2023.9.0 frontier-cpe24.07-gpu-2023.9.0", " GASNet is a language-independent, networking middleware layer that provides network-independent, high-performance communication primitives including Remote Memory Access (RMA) and Active Messages (AM). It has been used to implement parallel programming models and libraries such as UPC, UPC++, Co-Array Fortran, Legion, Chapel, and many others. The interface is primarily intended as a compilation target and for use by runtime library writers (as opposed to end users), and the primary goals are high performance, interface portability, and expressiveness. https://packages.spack.io/package.html?name=gasnet" 
"gdb", " 14.1", " andes borg frontier gaea-t5", " andes-core-24.07-14.1 borg-core-24.07-14.1 frontier-core-24.07-14.1 gaea-t5-core-24.10-14.1", " GDB, the GNU Project debugger, allows you to see what is going on 'inside' another program while it executes -- or what another program was doing at the moment it crashed.  https://packages.spack.io/package.html?name=gdb" 
"ginkgo", " 1.4.0 1.7.0", " borg frontier andes", " borg-cpe23.12-cpu-1.4.0 frontier-cpe23.12-cpu-1.4.0 andes-sw-24.11-1.7.0 borg-cpe23.12-cpu-1.7.0 borg-cpe23.12-gpu-1.7.0 borg-cpe24.03-cpu-1.7.0 borg-cpe24.03-gpu-1.7.0 borg-cpe24.07-cpu-1.7.0 borg-cpe24.07-gpu-1.7.0 frontier-cpe23.12-cpu-1.7.0 frontier-cpe23.12-gpu-1.7.0 frontier-cpe24.03-cpu-1.7.0 frontier-cpe24.03-gpu-1.7.0 frontier-cpe24.07-cpu-1.7.0 frontier-cpe24.07-gpu-1.7.0", " High-performance linear algebra library for manycore systems, with a focus on sparse solution of linear systems. https://packages.spack.io/package.html?name=ginkgo" 
"git", " 2.45.1 git", " andes borg frontier gaea-t5", " andes-core-24.07-2.45.1 borg-core-24.07-2.45.1 frontier-core-24.07-2.45.1 gaea-t5-core-24.10-2.45.1 andes-core-24.07-git borg-core-24.07-git frontier-core-24.07-git gaea-t5-core-24.10-git", " Git is a free and open source distributed version control system designed to handle everything from small to very large projects with speed and efficiency.  https://packages.spack.io/package.html?name=git" 
"glew", " 2.2.0", " gaea-t5", " gaea-t5-core-24.10-2.2.0", " https://packages.spack.io/package.html?name=glew" 
